"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Demo Web Shop","0","API · Authentication","1","0","Register","0"
"0","Demo Web Shop","0","Cart","1","0","Add to cart","0"
"0","Demo Web Shop","0","Catalog","1","0","Search","0"
"0","Demo Web Shop","0","Communications","1","0","Newsletter subscription","0"
"0","Demo Web Shop","0","API · Newsletter","1","0","Subscribe — negative","0"
"0","Demo Web Shop","0","Authentication","1","0","Login — negative","0"
"0","Demo Web Shop","0","Mobile experience","1","0","Search on mobile (Pixel 5)","0"
"0","Demo Web Shop","0","API · Search","1","0","Header search","0"
"0","Demo Web Shop","0","API · Cart","1","0","Add to cart","0"
"0","Demo Web Shop","0","API · Newsletter","1","0","Subscribe","0"
"0","Demo Web Shop","0","Authentication","1","0","Login","0"
"0","Demo Web Shop","0","API · Authentication","1","0","Login","0"
"0","Demo Web Shop","0","Authentication","1","0","Registration","0"
